																				
																					
													Mixed Door Cabinet								
Asbury Foodservice	MAXX-COLD	MCR-23FD	MCR-23FD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.3	0	19.3	76.9	26.8	30	2.58	R-134A	1/5/2002	9/21/2012
Asbury Foodservice	MAXX-COLD	MCR-49FD	MCR-49FD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	42.7	0	42.7	76.9	53.9	31	3.36	R-134A	1/5/2002	9/21/2012
Asbury Foodservice	MAXX-COLD	MCRT-23FD	MCRT-23FD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	19.39	0	19.39	76.9	31	26.8	2.53	R-134A	1/13/2011	9/21/2012
Asbury Foodservice	MAXX-COLD	MCRT-49FD	MCRT-49FD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	43.64	0	43.64	76.9	31	31	3.96	R-134A	1/3/2011	9/21/2012
Beverage-Air Corp.	Beverage-Air	BB68G-1	BB68G-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	28.3	28.3	0	37.25	69	28.18	4.01	R-134A	12/20/2002	9/10/2012
Beverage-Air Corp.	Beverage-Air	BM23	BM23		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	7.8	0	7.8	39	24	29.5	1.85	R-134A	7/15/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR1-1G		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	22.3	22.3	0	78.5	26	32	4.11	R-134A	7/17/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR1-1S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	21.7	0	21.7	78.5	26	32	2.94	R-134A	7/17/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR1W-1G		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	31.3	31.3	0	78.5	35	32	4.9	R-134A	7/20/2010	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR1W-1S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	30.6	0	30.6	78.5	35	32	3.2	R-134A	7/20/2010	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR2-1G		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	48	48	0	78.5	52	32	5.8	R-134A	7/17/2009	11/8/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR2-1HG	",HR2-1HG-MCS,; ,HRP2-1HG,; ,HRP2-1HG-001,; ,HRPS2-1HG,; ,HRPS2-1HG-003,; ,HRPS2-1HG-044,; ,HRPS2-1HG-18,; ,HRPS2-1HG-B8105,; ,HRS2-1HG,; ,HRS2-1HG-001,; HR2-1HG-MCS,HR2-1HG-MCS,; HRP2-1HG,HRP2-1HG,; HRP2-1HG-001,HRP2-1HG-001,; HRPS2-1HG,HRPS2-1HG,; HRPS2-1HG-003,HRPS2-1HG-003,; HRPS2-1HG-044,HRPS2-1HG-044,; HRPS2-1HG-18,HRPS2-1HG-18,; HRPS2-1HG-B8105,HRPS2-1HG-B8105,; HRS2-1HG,HRS2-1HG,; HRS2-1HG-001,HRS2-1HG-001,"	Glass Door Refrigerator Cabinet	Vertical		Automatic	4	0	Hinged	48.2	48.2	0	78.75	52	33.75	5.59	R-134A	11/4/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR2-1HG		Glass Door Refrigerator Cabinet	Vertical		Automatic	4	0	Hinged	48.2	48.2	0	78.75	52	33.75	5.6	R-134A	11/4/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR2-1HS	",HR2-1HS-006,; ,HR2-1HS-018,; ,HRP2-1HS,; ,HRPS2-1HS,; ,HRPS2-1HS-005,; ,HRPS2-1HS-B8338,; ,HRS2-1HS,; ,HRS2-1HS-001,; HR2-1HS-006,HR2-1HS-006,; HR2-1HS-018,HR2-1HS-018,; HRP2-1HS,HRP2-1HS,; HRPS2-1HS,HRPS2-1HS,; HRPS2-1HS-005,HRPS2-1HS-005,; HRPS2-1HS-B8338,HRPS2-1HS-B8338,; HRS2-1HS,HRS2-1HS,; HRS2-1HS-001,HRS2-1HS-001,"	Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	48.2	0	48.2	78.75	52	33.75	3.56	R-134A	11/4/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR2-1HS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	48.2	0	48.2	78.75	52	33.75	3.56	R-134A	11/4/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR2-1S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	46.9	0	46.9	78.5	52	32	3.5	R-134A	7/17/2009	11/8/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR3-1G		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Hinged	73.6	73.6	0	78.5	78	32	6.9	R-134A	1/18/2010	9/10/2012
Beverage-Air Corp.	Beverage-Air	Horizon	HR3-1S		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	72	0	72	78.5	78	32	4.1	R-134A	1/18/2010	9/10/2012
Beverage-Air Corp.	Beverage-Air	Lumavue	LV38-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	35.37	35.37	0	78	43.5	32	5.17	R-134A	2/17/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Lumavue	LV45-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Sliding	42.98	42.98	0	78	52	32	5.92	R-134A	4/7/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Lumavue	LV49-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	2	0	Hinged	45.42	45.42	0	78	52	32	5.82	R-134A	4/1/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Lumavue	LV66Y-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Sliding	64.7	64.7	0	78	75	32	7.68	R-134A	10/9/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Lumavue	LV72Y-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	3	0	Hinged	70.16	70.16	0	78	75	32	7.68	R-134A	9/10/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	LumaVue	LV27-1		Glass Door Refrigerator Cabinet	Vertical		Automatic	1	0	Hinged	26.17	26.17	0	78	30	32	4.13	R-134A	1/16/2009	9/10/2012
Beverage-Air Corp.	Beverage-Air	Reach-In	RI18-HS	",RI18-HS-26/,; RI18-HS-26/,RI18-HS-26/,"	Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	16.8	0	16.8	69.25	26.5	27.5	2.08	R-134A	4/9/2011	9/10/2012
Beverage-Air Corp.	Beverage-Air	RI Series	RI18-HGS	",RI18-HGS-26,; ,RI18-HGS-26/,; ,RI18-HGS-26/-18,; ,RI18-HGS/,; RI18-HGS-26,RI18-HGS-26,; RI18-HGS-26/,RI18-HGS-26/,; RI18-HGS-26/-18,RI18-HGS-26/-18,; RI18-HGS/,RI18-HGS/,"	Mixed Door Refrigerator Cabinet	Vertical		Automatic	1	1	Hinged	16.9	7.94	8.95	69	27.25	25.5	4.2	R-134A	7/20/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	SM34N	SM34N		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	12.83	0	12.83	39.5	34.5	31	2	R-404A	7/11/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	SM-49N	SM-49N		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18.5	0	18.5	39.5	49.5	31	1.83	R-404A	7/12/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	SM 58N	SM 58N		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	24.5	0	24.5	39.5	58.5	31	2.25	R-404A	7/14/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	SMF34	SMF34		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	13.35	0	13.35	47	34	33.25	2.5	R-134A	7/21/2008	9/10/2012
Beverage-Air Corp.	Beverage-Air	SMF49Y	SMF49Y		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	17.28	0	17.28	47.13	49	33.5	2.18	R-134A	7/21/2008	9/10/2012
Beverage-Air Corp.	Beverage-Air	ST 34N	ST 34N		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	13.1	0	13.1	39.5	34	31.5	1.85	R-404A	7/11/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	ST 49N	ST 49N		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	19.2	0	19.2	39.5	49	31.5	2.2	R-404A	7/12/1993	9/10/2012
Beverage-Air Corp.	Beverage-Air	Undercounter	UCR27A	",-002,; ,-003,; ,-004,; ,-012,; ,-028,; ,-17-52,; ,-17-53,; ,-23-028,; ,-23-16,; ,-23-52,; ,-23-52-SR,; ,-23-53,; ,-23-B1830,; ,-23-TG,; ,-24-17,; ,-24-23,; ,UCR27A-001,; ,UCR27A-014,; ,UCR27A-067,; ,UCR27A-07,; ,UCR27A-09,; ,UCR27A-09-001,; ,UCR27A-09-23,; ,UCR27A-16,; ,UCR27A-17,; ,UCR27A-23,; ,UCR27A-24,; -002,-002,; -003,-003,; -004,-004,; -012,-012,; -028,-028,; -17-52,-17-52,; -17-53,-17-53,; -23-028,-23-028,; -23-16,-23-16,; -23-52,-23-52,; -23-52-SR,-23-52-SR,; -23-53,-23-53,; -23-B1830,-23-B1830,; -23-TG,-23-TG,; -24-17,-24-17,; -24-23,-24-23,; UCR27A-001,UCR27A-001,; UCR27A-014,UCR27A-014,; UCR27A-067,UCR27A-067,; UCR27A-07,UCR27A-07,; UCR27A-09,UCR27A-09,; UCR27A-09-001,UCR27A-09-001,; UCR27A-09-23,UCR27A-09-23,; UCR27A-16,UCR27A-16,; UCR27A-17,UCR27A-17,; UCR27A-23,UCR27A-23,; UCR27A-24,UCR27A-24,"	Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.2	0	6.2	28.5	27	29.5	1.76	R-134A	9/10/1998	9/10/2012
Beverage-Air Corp.	Beverage-Air	Work Top	WTR27A	",-09-001,; ,-09-003,; ,-16-52,; ,-16-52-SR,; ,-17-001,; ,-17-52,; ,-17-52-SR,; ,-17-53,; ,-17-53LN,; ,-23-52,; ,-23-52-SR,; ,-23-53,; ,-23-53LN,; ,-24-17,; ,-24-17-53,; ,-24-23,; ,-24-23-009,; ,-241752SR,; ,-241753LN,; ,WTR27A-001,; ,WTR27A-07,; ,WTR27A-09,; ,WTR27A-16,; ,WTR27A-17,; ,WTR27A-23,; ,WTR27A-24,; -09-001,-09-001,; -09-003,-09-003,; -16-52,-16-52,; -16-52-SR,-16-52-SR,; -17-001,-17-001,; -17-52,-17-52,; -17-52-SR,-17-52-SR,; -17-53,-17-53,; -17-53LN,-17-53LN,; -23-52,-23-52,; -23-52-SR,-23-52-SR,; -23-53,-23-53,; -23-53LN,-23-53LN,; -24-17,-24-17,; -24-17-53,-24-17-53,; -24-23,-24-23,; -24-23-009,-24-23-009,; -241752SR,-241752SR,; -241753LN,-241753LN,; WTR27A-001,WTR27A-001,; WTR27A-07,WTR27A-07,; WTR27A-09,WTR27A-09,; WTR27A-16,WTR27A-16,; WTR27A-17,WTR27A-17,; WTR27A-23,WTR27A-23,; WTR27A-24,WTR27A-24,"	Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.2	0	6.2	33.5	27	29.5	1.76	R-134A	9/10/1998	9/10/2012
Beverage-Air Corp.	Beverage-Air	WTR 48A	WTR 48A		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.6	0	11.6	35.5	48	30.75	2.37	R-134A	9/7/1998	9/10/2012
Beverage-Air Corp.	Beverage-Air	WTR67A	WTR67A		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	19.21	0	19.21	39.63	67	35.87	2.56	R-134A	11/1/1998	9/10/2012
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BASR1	BASR1		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.5		20.93	83.8	212.7	31.25	2.26	R-134A	12/1/2011	11/16/2011
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BASR2	BASR2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	44.2		43.11	83.8	212.7	31.25	3.31	R-134A	12/1/2011	11/16/2011
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BASR3	BASR3		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	66.58		66.58	84.5	214.63	31.25	5.36	R-134A	9/15/2010	3/23/2011
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BAUR1	BAUR1		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	6.81		6.81	35.87	91.12	30	1.16	R-134A	12/1/2010	3/23/2011
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BAUR2	BAUR2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	13.05		13.05	35.87	91.12	30	1.68	R-134A	12/1/2010	3/23/2011
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BAUR3	BAUR3		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	19.51		19.51	35.87	91.12	30	2.33	R-134A	12/1/2010	3/23/2011
"Blue Air Commercial Refrigeration, Inc"	Blue Air	BAUR60	BAUR60		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	16.18		16.18	35.87	91.12	30	2.05	R-134A	12/1/2010	3/23/2011
"Broich Enterprises, Inc."	Arctic Air	Commercial storage refrigerator	AR23E		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18.1			82.7	210	32.7	2.75	R-134A	10/30/2012	10/16/2012
"Broich Enterprises, Inc."	Arctic Air	Commercial storage refrigerator	AR49E		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	41.8			82.7	210	32.7	3.7	R-134A	10/30/2012	10/16/2012
"Broich Enterprises, Inc."	Arctic Air	Commercial storage refrigerator	ARTM23E		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18.1			82.7	210	32.7	2.75	R-134A	10/30/2012	10/16/2012
"Broich Enterprises, Inc."	Arctic Air	Commercial storage refrigerator	ARTM49E		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	43			82.7	210	32.7	3.7	R-134A	10/30/2012	10/30/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	EBB59	EBB59		Solid Door Refrigerator Cabinet	Vertical		Manual	0	2	Hinged	18.82		18.82	37.1	57.7	27	2.47	R-134A	1/13/2011	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	EBB69G	EBB69G		Glass Door Refrigerator Cabinet	Vertical		Manual	2	0	Hinged	24.14	24.14	24.14	37.1	68	27	3.19	R-134A	12/7/2010	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	EMGR24	EMGR24		Glass Door Refrigerator Cabinet	Vertical		Manual	1	0	Hinged	24	24	24	79.25	28.5	33.5	3.85	R-134A	12/30/2010	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	ESR1	ESR1		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18.23		18.12	79.2	29.1	31.6	2.02	R-134A	12/10/2010	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	ESWR2	ESWR2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	43.07		43.07	79.2	59	31.6	2.15	R-134A	10/10/2010	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	ETBR2	ETBR2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	11.85		11.85	34	47.2	31.5	2.2	R-134A	1/13/2011	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	ETBWR2	ETBWR2		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	15.08		15.08	34	59	315	2.06	R-134A	12/30/2010	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	ETR1	ETR1		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	7.81		7.81	34	35.5	31.5	1.27	R-134A	12/10/2010	10/19/2012
BuSung America Corporation (DBA Everest Refrigeration)	Everest	ETR3	ETR3		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	20.61		20.61	34	70.9	31.5	2.02	R-134A	12/10/2010	10/19/2012
Continental Refrigerator	Continental	1R	1R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	18.87	0	18.87	82.3	26	35.5	2.59	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1RE	1RE		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	20.68	0	20.68	82.3	28.5	35.5	2.89	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1RE-HD	1RE-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	20.63	0	20.63	82.3	28.5	35.5	2.89	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1RE-PT	1RE-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	23.14	0	23.14	82.3	28.5	35.5	3.05	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1RE-PT-HD	1RE-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	23.04	0	23.04	82.3	28.5	35.5	3.05	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1R-HD	1R-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	18.69	0	18.69	82.3	26	35.5	2.59	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1R-PT	1R-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	21.57	0	21.57	82.3	26	35.5	2.98	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1R-PT-HD	1R-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	21.47	0	21.47	82.3	26	35.5	2.98	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1RS	1RS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	16.21	0	16.21	82.3	26	30.5	2.69	R-134A	1/1/2010	10/17/2012
Continental Refrigerator	Continental	1RS-HD	1RS-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	16.16	0	16.16	82.3	26	30.5	2.69	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	1RXS	1RXS		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	22.6	0	22.6	82.3	36.3	30.5	3.01	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	1RXS-HD	1RXS-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	22.55	0	22.55	82.3	36.3	30.5	3.01	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2RE	2RE		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	50	0	50	82.3	57	35.5	4.25	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2RE-HD	2RE-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	49.9	0	49.9	82.3	57	35.5	4.25	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2RE-PT	2RE-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	50	0	50	82.3	57	35.5	4.25	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2RE-PT-HD	2RE-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	8	Hinged	49.8	0	49.8	82.3	57	35.5	4.25	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2R-HD	2R-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	46.51	0	46.51	82.3	52	35.5	4.16	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2R-PT	2R-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	46.61	0	46.61	82.3	52	35.5	4.16	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	2R-PT-HD	2R-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	8	Hinged	46.41	0	46.41	82.3	52	35.5	4.16	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3R	3R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	68.38	0	68.38	82.3	78	35.5	5.01	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3RE	3RE		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	3	Hinged	75.76	0	75.76	82.3	85.5	35.5	5.23	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3RE-HD	3RE-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	75.61	0	75.61	82.3	85.5	35.5	5.23	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3RE-PT	3RE-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	80.2	0	80.2	82.3	85.5	35.5	6	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3RE-PT-HD	3RE-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	12	Hinged	79.9	0	79.9	82.3	85.5	35.5	6	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3R-HD	3R-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	68.2	0	68.2	82.3	78	35.5	5.01	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3R-PT	3R-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	6	Hinged	73.16	0	73.16	82.3	78	35.5	5.75	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	3R-PT-HD	3R-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	12	Hinged	72.86	0	72.86	82.3	78	35.5	5.75	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1R	DL1R		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	21.57	0	21.57	83.3	26	35.5	2.98	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RE	DL1RE		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	23.14	0	23.14	83.3	28.5	35.5	3.05	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RE-HD	DL1RE-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	23.09	0	23.09	83.3	28.5	35.5	3.05	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RE-PT	DL1RE-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	23.14	0	23.14	83.3	28.5	35.5	3.05	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RE-PT-HD	DL1RE-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	23.09	0	23.09	83.3	28.5	35.5	3.05	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RES	DL1RES		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	1	Hinged	17.6	0	17.6	83.3	28.5	28.5	2.81	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RES-HD	DL1RES-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	17.55	0	17.55	83.3	28.5	30.5	2.81	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RES-PT	DL1RES-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	17.6	0	17.6	83.3	28.5	28.5	2.81	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1RES-PT-HD	DL1RES-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	17.5	0	17.5	83.3	28.5	30.5	2.81	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1R-HD	DL1R-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	21.52	0	21.52	83.3	26	35.5	2.98	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1R-PT	DL1R-PT		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	2	Hinged	21.57	0	21.57	82.3	26	35.5	2.98	R-134A	1/1/2010	10/18/2012
Continental Refrigerator	Continental	DL1R-PT-HD	DL1R-PT-HD		Solid Door Refrigerator Cabinet	Vertical		Automatic	0	4	Hinged	21.47	0	21.47	83.3	26	35.5	2.98	R-134A	1/1/2010	10/18/2012
