Qualified Solid Door Freezers					Updated 	 5/17/2017
Traulsen	G22002	Reach-in	45.89	9.86	$160	F181
Traulsen	G22003	Reach-in	45.89	9.86	$160	F181
Traulsen	G22010	Reach-in	46.02	9.89	$160	F181
Traulsen	G22011	Reach-in	46.02	9.89	$160	F181
Traulsen	G22012	Reach-in	46.02	9.89	$160	F181
Traulsen	G22013	Reach-in	46.02	9.89	$160	F181
Traulsen	G31000-032	Reach-in	69.15	13.55	$350	F182
Traulsen	G31001-032	Reach-in	69.15	13.55	$350	F182
Traulsen	G31002-032	Reach-in	69.15	13.55	$350	F182
Traulsen	G31003-032	Reach-in	69.15	13.55	$350	F182
Traulsen	G31010-032	Reach-in	69.35	13.58	$350	F182
Traulsen	G31011-032	Reach-in	69.35	13.58	$350	F182
Traulsen	G31012-032	Reach-in	69.35	13.58	$350	F182
Traulsen	G31013-032	Reach-in	69.35	13.58	$350	F182
Traulsen	RLT232WUT-FHS-eS	Reach-in	50.53	11.04	$350	F182
Traulsen	RLT232WUT-HHS-eS	Reach-in	50.40	11.02	$350	F182
Traulsen	RLT332NUT***	Reach-in	69.10	13.94	$350	F182
Traulsen	RLT332WUT-FHS-eS	Reach-in	77.45	14.67	$350	F182
Traulsen	RLT332WUT-HHS-eS	Reach-in	77.26	14.65	$350	F182
True	T-49F-HC	Reach-in	41.47	8.57	$160	F181
True	TS-49F-HC	Reach-in	41.47	8.57	$160	F181
True	TUC-27F-ADA-HC	Undercounter	7.07	2.22	$75	F179
True	TUC-27F-ADA-HC~SPEC1	Undercounter	7.07	2.22	$75	F179
True	TUC-27F-HC	Undercounter	7.07	2.22	$75	F179
True	TUC-27F-HC~SPEC1	Undercounter	7.07	2.22	$75	F179
True	TUC-27F-LP-HC	Undercounter	7.07	2.22	$75	F179
True	TUC-27F-LP-HC~SPEC1	Undercounter	7.07	2.22	$75	F179
True	TUC-48F-ADA-HC	Undercounter	12.85	3.56	$75	F179
True	TUC-48F-ADA-HC~SPEC1	Undercounter	12.85	3.56	$75	F179
True	TUC-48F-HC	Work-Top Table	12.85	3.56	$75	F179
True	TUC-48F-HC	Undercounter	12.85	3.56	$75	F179
True	TUC-48F-HC~SPEC1	Work-Top Table	12.85	3.56	$75	F179
True	TUC-48F-HC~SPEC1	Undercounter	12.85	3.56	$75	F179
True	TUC-48F-LP-HC	Undercounter	12.85	3.56	$75	F179
True	TUC-48F-LP-HC~SPEC1	Undercounter	12.85	3.56	$75	F179
True	TWT-27F-HC	Work-Top Table	7.07	2.22	$75	F179
True	TWT-27F-HC~SPEC1	Work-Top Table	7.07	2.22	$75	F179
True	TWT-48F-HC	Work-Top Table	12.85	3.56	$75	F179
True	TWT-48F-HC~SPEC1	Work-Top Table	12.85	3.56	$75	F179
Turbo Air	EF19-1-N	Reach-in	18.44	4.37	$100	F180
Turbo Air	EF19-2-N	Reach-in	18.44	4.37	$100	F180
Turbo Air	EF24-1-N	Reach-in	21.70	4.77	$100	F180
Turbo Air	EF24-2-N	Reach-in	21.70	4.77	$100	F180
Turbo Air	EF47-2-N	Reach-in	42.10	5.27	$160	F181
Turbo Air	EF47-4-N	Reach-in	42.10	5.27	$160	F181
Turbo Air	JRF-45	Reach-in	35.97	5.89	$160	F181
Turbo Air	JRF-65	Reach-in	61.84	8.29	$350	F182
Turbo Air	JUF-36-N	Reach-in	6.37	2.11	$75	F179
Turbo Air	JUF-60-N	Reach-in	13.58	3.71	$75	F179
Turbo Air	JURF-72-N	Reach-in	17.76	4.22	$100	F180
Turbo Air	M3F19-1-N	Reach-in	18.44	4.37	$100	F180
Turbo Air	M3F19-2-N	Reach-in	18.44	4.37	$100	F180
Turbo Air	M3RF19-2-N	Reach-in	16.28	3.77	$100	F180
Turbo Air	M3RF45-2	Reach-in	35.97	5.89	$160	F181
Turbo Air	M3RF45-2-N	Reach-in	35.97	5.25	$160	F181
Turbo Air	MUF-28-711	Reach-in	6.97	1.96	$75	F179
Turbo Air	PRO-50-4F-N	Reach-in	48.70	9.18	$160	F181
Turbo Air	PRO-50F-N	Reach-in	48.70	9.18	$160	F181
Turbo Air	TSF-35SD-N	Reach-in	29.00	5.45	$100	F180
Turbo Air	TSF-49SD	Reach-in	39.90	7.66	$160	F181
Turbo Air	TSF-72SD	Reach-in	63.80	11.57	$350	F182
US Refrigeration	USBV-48F	Reach-in	44.77	9.99	$160	F181
US Refrigeration	USBV-70F	Reach-in	67.99	10.70	$350	F182
US Refrigeration	USTV-70F	Reach-in	64.88	10.70	$350	F182
Vencold	VC-F20SD	Reach-in	19.70	4.11	$100	F180
"Zero Zone, Inc."	1RVZC30****	Reach-in	32.86	6.39	$160	F181
"Zero Zone, Inc."	2RVZC30****	Reach-in	64.49	10.80	$350	F182
"Zero Zone, Inc."	3RVZC30****	Reach-in	96.12	15.21	$350	F182
"Zero Zone, Inc."	4RVZC30****	Reach-in	127.74	19.62	$350	F182
"Zero Zone, Inc."	5RVZC30****	Reach-in	159.37	24.03	$350	F182
						
