Manufacturer	Model Number	Rough Shape	Exact Lamp Shape 	Wattage	Color Temperature	Length (in inches)	Width (in inches)	Light Quality CRI	Base Type	Lumens
SYLVANIA	26356; 26357	bulbous		23					E26	1655
SYLVANIA	26345	bulbous		23					E26	1655
SYLVANIA	26358	bulbous		22.9					E26	1636
SYLVANIA	26359	bulbous		22.9					E26	1630
SYLVANIA	26346	bulbous		22.9					E26	1630
SYLVANIA	26351; 26352	bulbous		23					E26	1629
SYLVANIA	26334	bulbous		23					E26	1629
SYLVANIA	28953	bulbous		23.2					E26	1640
SYLVANIA	28945	bulbous		23.2					E26	1640
SYLVANIA	29928	bulbous		23.2					E26	1640
SYLVANIA	29927	bulbous		23.2					E26	1640
SYLVANIA	28905	bulbous		23.2					E26	1640
SYLVANIA	28902	bulbous		23.2					E26	1640
SYLVANIA	29453; 26899	bulbous		24.3					E26	1657
SYLVANIA	29026	bulbous		24.8					E26	1671
SYLVANIA	28967; 29792	bulbous		28.3					E26	1998
SYLVANIA	29395	bulbous		29.6					E26	2082
SYLVANIA	29793	bulbous		30					E26	2039
SYLVANIA	28973	bulbous		31.5					E26	2195
SYLVANIA	29913	bulbous		31.5					E26	2195
SYLVANIA	26930; 26933	bulbous		31.5					E26	2195
SYLVANIA	27714	bulbous		40.5					E26	2812
SYLVANIA	29786; 26951	bulbous		40.5					E26	2812
SYLVANIA	29508; 28970	bulbous		58.8					E26	4459
SYLVANIA	21095	bulbous		5.5					E26	300
Feit Electric	ESL9TM/ECO	bulbous							E26	
Threshold	ESL13T/ECO	bulbous							E26	
Kailin	KL1206-13W	bulbous							E26	
Threshold	ESL23TM/ECO	bulbous							E26	
Kailin	KL1206-23W	bulbous							E26	
TOPSTAR	601289	bulbous							E26	
TOPSTAR	603528	bulbous							E26	
Tospo	TP120-32HFS(T3) 2700K	bulbous							E26	
Tospo	TP120-42HFS(T4) 2700K	bulbous							E26	
Tospo	TP120-13MSL(1C) 2700K	bulbous							E26	
Tospo	TP120-13MSL(1C) 6500K	bulbous							E26	
Tospo	TP120-13MSL(1C) 5000K	bulbous							E26	
Tospo	TP120-13MSL(1C) 4100K	bulbous							E26	
Tospo	TP120-13MSL(1C) 3500K	bulbous							E26	
Tospo	TP120-13MSL(1C) 3000K	bulbous							E26	
Tospo	TP120-13MSL(1C) 2700K	bulbous							E26	
Modern \ by dwell maganize\	0	bulbous							E26	
Modern \ by dwell maganize\	0	bulbous							E26	
Modern	0	bulbous							E26	
Modern	0	bulbous							E26	
PILLOWFORT	0	bulbous							E26	
PILLOWFORT	0	bulbous							E26	
THRESHOLD	0	bulbous							E26	
THRESHOLD	0	bulbous							E26	
RE	0	bulbous							E26	
RE	0	bulbous							E26	
TOSPO	1	bulbous							E26	
Tospo	TP120-23/HFS E26 2700K	bulbous							E26	
Tospo	TP120-23/HFS E26 3000K	bulbous							E26	
Tospo	TP120-23/HFS E26 3500K	bulbous							E26	
Tospo	TP120-23/HFS E26 4100K	bulbous							E26	
Tospo	TP120-23/HFS E26 5000K	bulbous							E26	
Tospo	TP120-23/HFS E26 6500K	bulbous							E26	
Tospo	TP120-13/HFS E26 2700K	bulbous							E26	
Tospo	TP120-26HFS(T2) 5000K	bulbous							E26	
Tospo	TP120-26HFS(T2) 4100K	bulbous							E26	
Tospo	TP120-26HFS(T2) 3500K	bulbous							E26	
Tospo	TP120-26HFS(T2) 3000K	bulbous							E26	
Tospo	TP120-26HFS(T2) 2700K	bulbous							E26	
Philips	EL/A SWP 9W*	bulbous							E26	
Philips	EL/A SWP 14W*	bulbous							E26	
Philips	EL/A SWP 20W*	bulbous							E26	
Philips	EL/Can T2 5W*	bulbous							E26	
Philips	EL/A Fan 5W*	bulbous							E26	
Philips	EL/A G25 T3 9W*	bulbous							E26	
Philips	EL/A G40 23W 120V*	bulbous							E26	
Philips	EL/O 14W Prisma*	bulbous							E26	
Philips	EL/O 18W*	bulbous							E26	
Philips	EL/mdTQS 9W T2*	bulbous							E26	
Philips	EL/mdTQS 13W T2*	bulbous							E26	
Philips	EL/mdTQS 13W T2 3.5K*	bulbous							E26	
Philips	EL/mdTQS 13W T2 4.1K*	bulbous							E26	
Philips	EL/mdTQS 13W T2 5K*	bulbous							E26	
Philips	EL/mdTQS 13W T2 6.5K*	bulbous							E26	
Philips	EL/mdTQS 18W T2*	bulbous							E26	
Philips	EL/mdTQS 23W T2*	bulbous							E26	
Philips	EL/mdTQS 23W T2 3.5K*	bulbous							E26	
Philips	EL/mdTQS 23W T2 4.1K*	bulbous							E26	
Philips	EL/mdTQS 23W T2 5K*	bulbous							E26	
Philips	EL/mdTQS 26W T2*	bulbous							E26	
Philips	EL/mdTQS 26W T2 4.1K	bulbous							E26	
Philips	EL/mdTQS 26W T2 5K*	bulbous							E26	
Philips	EL/A T2 SC 14W*	bulbous							E26	
Philips	EL/A T2 SC 14W 6.5K*	bulbous							E26	
Philips	EL/A T2 SC 9W*	bulbous							E26	
Philips	SLS Universal 14W*	bulbous							E26	
Philips	SLS Universal 20W*	bulbous							E26	
Philips	SLS Universal 25W*	bulbous							E26	
Philips	EL/dT42W LL*	bulbous							E26	
Philips	EL/mdT 20W 1% DIM*	bulbous							E26	
Philips	EL/O 18W Tuffguard	bulbous							E26	
Philips	EL/md T D2D	bulbous							E26	
Philips	EL/mdTQS 18W T2 6.5K*	bulbous							E26	
MaxLite	SKS13T2CW-149	bulbous							E26	
MaxLite	SKS13T2DL-149	bulbous							E26	
MaxLite	SKS13T2DL/4P-149	bulbous							E26	
MaxLite	SKS23T2WW/4P-149	bulbous							E26	
MaxLite	SKS13T2WW-133	bulbous							E26	
MaxLite	SKB14EAWW-133	bulbous							E26	
MaxLite	SKS13T2WW-149	bulbous							E26	
MaxLite	SKS13T2WW-149/BP	bulbous							E26	
MaxLite	SKS13T2WW/4P-149	bulbous							E26	
MaxLite	SKS18T2WW-149	bulbous							E26	
MaxLite	SKS18T2WW/4P-149	bulbous							E26	
MaxLite	SKS18T2CW-149	bulbous							E26	
MaxLite	SKS18T2CW/4P-149	bulbous							E26	
MaxLite	SKS18T2DL-149	bulbous							E26	
MaxLite	SKS18T2DL/4P-149	bulbous							E26	
MaxLite	SKS23T2WW-149	bulbous							E26	
MaxLite	SKS23T2CW-149	bulbous							E26	
MaxLite	SKS23T2DL-149	bulbous							E26	
MaxLite	HCS253WWW6-110	bulbous							E26	
MaxLite	SKS30EA3WW-110	bulbous							E26	
MaxLite	HCB13WW6-107	bulbous							E26	
MaxLite	SKB18EAWW	bulbous							E26	
MaxLite	HCB18WW6	bulbous							E26	
MaxLite	SKM11EGWW	bulbous							E26	
MaxLite	HCG14WW6	bulbous							E26	
MaxLite	SKS18EADL-107	bulbous							E26	
MaxLite	MLM30SCW	bulbous							E26	
MaxLite	MLM30SWW-110	bulbous							E26	
MaxLite	SKS13EAWW-133	bulbous							E26	
MaxLite	SKB13EAWW-107	bulbous							E26	
MaxLite	SKS14EAWW-133	bulbous							E26	
MaxLite	MLS32T4WW	bulbous							E26	
Eiko	SL-SP20/5500K	bulbous							E26	
Eiko	SP105/41/MED	bulbous							E26	
Eiko	SP105/50/MED	bulbous							E26	
Eiko	SP10T2/27K	bulbous							E26	
Eiko	SP10T2/41K	bulbous							E26	
Eiko	SP10T2/50K	bulbous							E26	
Eiko	SP10T2/65K	bulbous							E26	
Eiko	SP13/27K	bulbous							E26	
Eiko	SP13/27K	bulbous							E26	
Eiko	SP13/27K-DIM	bulbous							E26	
Eiko	SP13/35K	bulbous							E26	
Eiko	SP13/35K	bulbous							E26	
Eiko	SP13/41K	bulbous							E26	
Eiko	SP13/41K	bulbous							E26	
Eiko	SP13/41K-DIM	bulbous							E26	
Eiko	SP13/50K	bulbous							E26	
Eiko	SP13/50K	bulbous							E26	
Eiko	SP13/65K	bulbous							E26	
Eiko	SP13/65K	bulbous							E26	
Eiko	SP13A19/27K	bulbous							E26	
Eiko	SP13A19/27K	bulbous							E26	
Eiko	SP13A19/41K	bulbous							E26	
Eiko	SP13A19/41K	bulbous							E26	
Eiko	SP15G25/27K	bulbous							E26	
Eiko	SP15G25/41K	bulbous							E26	
Eiko	SP19/27K	bulbous							E26	
Eiko	SP19/27K	bulbous							E26	
Eiko	SP19/27K-DIM	bulbous							E26	
Eiko	SP19/35K	bulbous							E26	
Eiko	SP19/41K	bulbous							E26	
Eiko	SP19/41K	bulbous							E26	
Eiko	SP19/41K-DIM	bulbous							E26	
Eiko	SP19/50K	bulbous							E26	
Eiko	SP19/50K	bulbous							E26	
Eiko	SP19/65K	bulbous							E26	
Eiko	SP23/27K	bulbous							E26	
Eiko	SP23/27K	bulbous							E26	
Eiko	SP23/27K-DIM	bulbous							E26	
Eiko	SP23/35K	bulbous							E26	
Eiko	SP23/41K	bulbous							E26	
Eiko	SP23/41K	bulbous							E26	
Eiko	SP23/41K-DIM	bulbous							E26	
Eiko	SP23/50K	bulbous							E26	
Eiko	SP23/50K	bulbous							E26	
Eiko	SP23/65K	bulbous							E26	
Eiko	SP27/27K	bulbous							E26	
Eiko	SP27/27K	bulbous							E26	
Eiko	SP27/35K	bulbous							E26	
Eiko	SP27/35K	bulbous							E26	
Eiko	SP27/41K	bulbous							E26	
Eiko	SP27/41K	bulbous							E26	
Eiko	SP27/50K	bulbous							E26	
Eiko	SP27/50K	bulbous							E26	
Eiko	SP32/27K	bulbous							E26	
Eiko	SP32/27K	bulbous							E26	
Eiko	SP32/35K	bulbous							E26	
Eiko	SP32/35K	bulbous							E26	
Eiko	SP32/41K	bulbous							E26	
Eiko	SP32/41K	bulbous							E26	
Eiko	SP32/50K	bulbous							E26	
Eiko	SP32/50K	bulbous							E26	
Eiko	SP42/27K	bulbous							E26	
Eiko	SP42/27K	bulbous							E26	
Eiko	SP42/35K	bulbous							E26	
Eiko	SP42/35K	bulbous							E26	
Eiko	SP42/41K	bulbous							E26	
Eiko	SP42/41K	bulbous							E26	
Eiko	SP42/50K	bulbous							E26	
Eiko	SP42/50K	bulbous							E26	
Eiko	SP5B13/E26/27K	bulbous							E26	
Eiko	SP5B13/E26/41K	bulbous							E26	
Eiko	SP65/41/MED	bulbous							E26	
Eiko	SP65/50/MED	bulbous							E26	
Eiko	SP7B13/41K	bulbous							E26	
Eiko	SP85/41/MED	bulbous							E26	
Eiko	SP85/50/MED	bulbous							E26	
Eiko	SP9A19/27K	bulbous							E26	
Eiko	SP9A19/41K	bulbous							E26	
Eiko	SP9A19/41K	bulbous							E26	
Eiko	SP9G25/27K	bulbous							E26	
Eiko	SP9G25/27K	bulbous							E26	
Eiko	SP9G25/41K	bulbous							E26	
Superior LifeÂ®	70423	bulbous							E26	
Superior LifeÂ®	70424	bulbous							E26	
Day-Brite	70425	bulbous							E26	
Sky-Brite	70426	bulbous							E26	
Superior LifeÂ®	70427	bulbous							E26	
Superior LifeÂ®	70428	bulbous							E26	
Superior LifeÂ®	70440	bulbous							E26	
Day-Brite	70429	bulbous							E26	
Superior LifeÂ®	70431	bulbous							E26	
Superior LifeÂ®	70432	bulbous							E26	
Day-Brite	70433	bulbous							E26	
Sky-Brite	70434	bulbous							E26	
Superior LifeÂ®	70435	bulbous							E26	
Sky-Brite	82344	bulbous							E26	
Superior LifeÂ®	81633	bulbous							E26	
Sky-Brite	81632	bulbous							E26	
Sky-Brite	70436	bulbous							E26	
Day-Brite	70438	bulbous							E26	
SYLVANIA	29026	bulbous							E26	
BUYERS CHOICE	26334	bulbous							E26	
SYLVANIA	29901	bulbous							E26	
BUYERS CHOICE	26332	bulbous							E26	
ESSENTIAL EVERYDAY	28969	bulbous							E26	
BUYERS CHOICE	26331	bulbous							E26	
ShopRite	28913	bulbous							E26	
ShopRite	29746	bulbous							E26	
HOME 360	29606	bulbous							E26	
HOME 360	29615	bulbous							E26	
ESSENTIAL EVERYDAY	28943; 28945	bulbous							E26	
DOMESTIX	28909	bulbous							E26	
ShopRite	28912	bulbous							E26	
ShopRite	29737	bulbous							E26	
SYLVANIA	29468	bulbous							E26	
HOME 360	29571	bulbous							E26	
ShopRite	28911	bulbous							E26	
ShopRite	29745	bulbous							E26	
ESSENTIAL EVERYDAY	28940; 28944	bulbous							E26	
HOME 360	29369	bulbous							E26	
DOMESTIX	28908	bulbous							E26	
ESSENTIAL EVERYDAY	28988	bulbous							E26	
DOMESTIX	28608	bulbous							E26	
ShopRite	29737	bulbous							E26	
ShopRite	28902	bulbous							E26	
ShopRite	28905	bulbous							E26	
HOME 360	29927	bulbous							E26	
HOME 360	29928	bulbous							E26	
DOMESTIX	28953	bulbous							E26	
ShopRite	28903	bulbous							E26	
ShopRite	28904	bulbous							E26	
ShopRite	28900	bulbous							E26	
ShopRite	28901	bulbous							E26	
HOME 360	29925	bulbous							E26	
HOME 360	29926	bulbous							E26	
DOMESTIX	29912	bulbous							E26	
DOMESTIX	29911	bulbous							E26	
SYLVANIA	26370; 26371;28895; 28896	bulbous							E26	
Feit Electric	ESL25TM/ECO	bulbous							E26	
Feit Electric	ESL13T2C	bulbous							E26	
Utilitech	002196/LBP13T/27K	bulbous							E26	
Utilitech	0275632 / LBP12GTM2/27K	bulbous							E26	
Utilitech	77180 / L13T4/35K(N)	bulbous							E26	
Safeway	BPESL13T/2/SAFE/BG	bulbous							E26	
Feit Electric	BPESL13T/3/ECO	bulbous							E26	
Feit Electric	BPESL13T/D	bulbous							E26	
Feit Electric	BPESL13T/D(N)	bulbous							E26	
Feit Electric	BPESL13T/D/3	bulbous							E26	
Feit Electric	BPESL13T/D/3(N)	bulbous							E26	
Feit Electric	BPESL13T/ECO	bulbous							E26	
Feit Electric	BPESL13T/ECO(H)	bulbous							E26	
Feit Electric	BPESL13TC/2	bulbous							E26	
Feit Electric	BPESL13TC/D/2	bulbous							E26	
Feit Electric	BPESL14T2/2/RP	bulbous							E26	
Feit Electric	BPESL14T2/D/2/RP	bulbous							E26	
Feit Electric	BPESL18T2/2/RP	bulbous							E26	
Feit Electric	BPESL18T2/D/2/RP	bulbous							E26	
Safeway	BPESL18TM/2/SAFE/BG	bulbous							E26	
Feit Electric	BPESL23T2/2/RP	bulbous							E26	
Feit Electric	BPESL23T2/D/2/RP	bulbous							E26	
Safeway	BPESL23TM/2/SAFE/BG	bulbous							E26	
Feit Electric	BPESL23TM/D	bulbous							E26	
Feit Electric	BPESL23TM/D/3	bulbous							E26	
Feit Electric	BPESL23TM/ECO	bulbous							E26	
Feit Electric	ESL13T/12	bulbous							E26	
Maintenance Warehouse	ESL13T/12/HDS / 313258	bulbous							E26	
Feit Electric	ESL13T/3/ECO	bulbous							E26	
Feit Electric	ESL13T/3/ECO(H)	bulbous							E26	
Feit Electric	ESL13T/4	bulbous							E26	
Feit Electric	ESL13T/4(H)	bulbous							E26	
Feit Electric	ESL13T/4(N)	bulbous							E26	
Maintenance Warehouse	ESL13T/41K/12/HDS / 313264	bulbous							E26	
Feit Electric	ESL13T/BW	bulbous							E26	
Feit Electric	ESL13T/BW(N)	bulbous							E26	
Feit Electric	ESL13T/BW/3	bulbous							E26	
Feit Electric	ESL13T/D	bulbous							E26	
Feit Electric	ESL13T/D(N)	bulbous							E26	
Feit Electric	ESL13T/D/3	bulbous							E26	
Feit Electric	ESL13T/D/3(N)	bulbous							E26	
Feit Electric	ESL13T/D/4	bulbous							E26	
Feit Electric	ESL13T/D/4(N)	bulbous							E26	
Feit Electric	ESL13T/ECO/41K	bulbous							E26	
Feit Electric	ESL13T/ECO/CAN	bulbous							E26	
Feit Electric	ESL18TM/BW/4	bulbous							E26	
Feit Electric	ESL23TM/12	bulbous							E26	
Feit Electric	ESL23TM/12(N)	bulbous							E26	
Maintenance Warehouse	ESL23TM/12/HDS / 313266	bulbous							E26	
Feit Electric	ESL23TM/4(N)	bulbous							E26	
Feit Electric	ESL23TM/4/RP	bulbous							E26	
Maintenance Warehouse	ESL23TM/41K/12/HDS / 313268	bulbous							E26	
Feit Electric	ESL23TM/BW/3	bulbous							E26	
Feit Electric	ESL23TM/D	bulbous							E26	
Feit Electric	ESL23TM/D/3	bulbous							E26	
Feit Electric	ESL23TM/D/4	bulbous							E26	
Safeway	ESL23TM/D/4/SAFE	bulbous							E26	
Feit Electric	ESL23TM/ECO	bulbous							E26	
Feit Electric	ESL23TM/ECO/41K	bulbous							E26	
Feit Electric	ESL25TM/ECO/41K	bulbous							E26	
Maintenance Warehouse	ESL27TM/12/HDS / 313276	bulbous							E26	
Maintenance Warehouse	ESL27TM/41K/12/HDS / 313284	bulbous							E26	
Feit Electric	ESL30/100T/D	bulbous							E26	
Feit Electric	ESL30/100T/ECO	bulbous							E26	
Feit Electric	ESL30T/ECO/41K	bulbous							E26	
Feit Electric	ESL50/150T/ECO	bulbous							E26	
Feit Electric	ESL9TM/3/ECO	bulbous							E26	
Feit Electric	ESL9TM/4	bulbous							E26	
Feit Electric	ESL9TM/BW	bulbous							E26	
Feit Electric	ESL9TM/BW/3	bulbous							E26	
Feit Electric	ESL9TM/D/3	bulbous							E26	
KAILIN	0	bulbous							E26	
KAILIN	0	bulbous							E26	
MaxLite	MLS13T2WW	bulbous							E26	
Topstar	BLQA26E-T3	bulbous							E26	
Topstar	BLQA13E-T3	bulbous							E26	
Topstar	BLQA09-T3	bulbous							E26	
Homelite	HLT3S13W/2700K	bulbous							E26	
Feit	ESL13T/ECO	bulbous							E26	
TOSPO	649088	bulbous							E26	
Joinan	SPS23W	bulbous							E26	
Joinan	SPS13W	bulbous							E26	
Lumapro	2CUR9	bulbous							E26	
Lumapro	2CUT1	bulbous							E26	
Lumapro	2CUT2	bulbous							E26	
Lumapro	2CUT3	bulbous							E26	
Lumapro	2CUT5	bulbous							E26	
Lumapro	2CUT6	bulbous							E26	
Lumapro	2CUT7	bulbous							E26	
Lumapro	2CUT8	bulbous							E26	
Lumapro	2CUU4	bulbous							E26	
Lumapro	2CUU6	bulbous							E26	
Westinghouse	36607	bulbous							E26	
Westinghouse	36609	bulbous							E26	
Westinghouse	36660	bulbous							E26	
Westinghouse	37714	bulbous							E26	
Westinghouse	37900	bulbous							E26	
Westinghouse	37934	bulbous							E26	
Westinghouse	37941	bulbous							E26	
Westinghouse	37942	bulbous							E26	
Westinghouse	37943	bulbous							E26	
Westinghouse	37944	bulbous							E26	
Lumapro	3TFP5	bulbous							E26	
Westinghouse	37945	bulbous							E26	
Westinghouse	37946	bulbous							E26	
Westinghouse	37951	bulbous							E26	
Westinghouse	37952	bulbous							E26	
Westinghouse	37953	bulbous							E26	
Westinghouse	37954	bulbous							E26	
Westinghouse	38001	bulbous							E26	
Westinghouse	38002	bulbous							E26	
Westinghouse	38003	bulbous							E26	
Westinghouse	38004	bulbous							E26	
Lumapro	3EMY1	bulbous							E26	
Westinghouse	38005	bulbous							E26	
Lumapro	2CUU7	bulbous							E26	
Westinghouse	37996	bulbous							E26	
Westinghouse	375100	bulbous							E26	
Westinghouse	7225	bulbous							E26	
Westinghouse	7226	bulbous							E26	
Lumapro	2CUT9	bulbous							E26	
Lumapro	2CUU1	bulbous							E26	
Lumapro	2CUU2	bulbous							E26	
Westinghouse	37716	bulbous							E26	
Westinghouse	37958	bulbous							E26	
Westinghouse	37959	bulbous							E26	
Westinghouse	37960	bulbous							E26	
Westinghouse	37961	bulbous							E26	
Westinghouse	37901	bulbous							E26	
Westinghouse	37902	bulbous							E26	
Westinghouse	38010	bulbous							E26	
GE	FLE15HT3/2/SXE/SW	bulbous							E26	
GE	FLE15HT3/2/XL/SW	bulbous							E26	
GE	FLE20/2/A19XL/SW	bulbous							E26	
GE	FLE20/2/T19XL/SW	bulbous							E26	
GE	FLE15HT3/2/SX/SW	bulbous							E26	
GE	FLE20AG21/2/HB/SW	bulbous							E26	
GE	FLE15HT3XXLL	bulbous							E26	
GE	FLE15HT3/2/DV/SW	bulbous							E26	
GE	FLE20AG21/2/RVL	bulbous							E26	
GE	FLE20HT2/2/12E/SS	bulbous							E26	
GE	FLE20HT2/2/12H/SW	bulbous							E26	
GE	FLE15AG19/2/HB/XLESW	bulbous							E26	
GE	FLE20HT2/2/12E/SW	bulbous							E26	
GE	FLE15AG19/2/HB/SWXL	bulbous							E26	
Everyday Living	FLE20HT3/2/10E/SS	bulbous							E26	
GE	FLE20HT3/2/10E/SS	bulbous							E26	
GE	FLE20HT3/2/10H/CW	bulbous							E26	
GE	FLE15/G25/2/HB/SW	bulbous							E26	
GE	FLE20HT3/2/10E/CW	bulbous							E26	
Biolife	FLE15/2/A21XL/SW	bulbous							E26	
GE	FLE15/2/A21XL/SW	bulbous							E26	
ACE	FLE20HT3/2/10E/SW	bulbous							E26	
GE	FLE14HT3/2/DME/SW	bulbous							E26	
GE	FLE14HT3/2/DM/SW	bulbous							E26	
GE	FLE14HT3/2/10E/SW	bulbous							E26	
GE	FLE14HT3/2/10H/SW	bulbous							E26	
Best Choice	FLE20HT3/2/10E/SW	bulbous							E26	
GE	FLE14HT3/2/10H/D	bulbous							E26	
GE	FLE14HT3/2/10E/CW	bulbous							E26	
Everyday Living	FLE20HT3/2/10H/SW	bulbous							E26	
GE	FLE14HT3/2/10H/CW	bulbous							E26	
Everyday Living	FLE20HT3/2/10E/SW	bulbous							E26	
GE	FLE14HT3/2/10E/SS	bulbous							E26	
Everyday Living	FLE14HT3/2/10E/SS	bulbous							E26	
GE	FLE20HT3/2/10H/SW	bulbous							E26	
GE	FLE20HT3/2/10E/SW	bulbous							E26	
GE	FLE14/2/TC16/SW	bulbous							E26	
Centrifuge	FLE20HT3/2/10E/SW	bulbous							E26	
LumaPro	FLE20HT3/2/10E/SW	bulbous							E26	
Rite Aid	FLE20HT3/2/10E/SW	bulbous							E26	
Smart living	FLE20HT3/2/10H/SW	bulbous							E26	
Utilitech	UT20/10HSW	bulbous							E26	
Utilitech	UT20/10E/SW	bulbous							E26	
Publix	FLE20HT3/2/10E/SW	bulbous							E26	
GE	FLE13HT3/2/RVL	bulbous							E26	
Smart living	FLE13HT3/2/10R/SW	bulbous							E26	
Rite Aid	FLE13HT3/2/10R/SW	bulbous							E26	
GE	FLE13HT3/2/10R/SW	bulbous							E26	
GE	FLE20HT3XXLL	bulbous							E26	
Best choice	FLE13HT3/2/10R/SW	bulbous							E26	
GE	FLE20HT3/2/SX/SW	bulbous							E26	
Smart living	FLE13HT3/2/10E/SW	bulbous							E26	
GE	FLE20HT3/2/SXE/SW	bulbous							E26	
Utilitech	UT13/10E/SW	bulbous							E26	
Rite Aid	FLE13HT3/2/10E/SW	bulbous							E26	
GE	FLE20HT3/2/XL/SW	bulbous							E26	
Publix	FLE13HT3/2/10E/SW	bulbous							E26	
Centrifuge	FLE13HT3/2/10E/SW	bulbous							E26	
GE	FLE23HT2/2/12E/SW	bulbous							E26	
GE	FLE13HT3/2/10E/SW	bulbous							E26	
GE	FLE23HT2/2/12H/SW	bulbous							E26	
Everyday Living	FLE13HT3/2/10E/SW	bulbous							E26	
Everyday Living	FLE23HT3/2/10E/SS	bulbous							E26	
Dollar General	FLE13HT3/2/10E/SW	bulbous							E26	
Total Home	FLE13HT3/2/10E/SW	bulbous							E26	
GE	FLE23HT3/2/10E/SS	bulbous							E26	
GE	FLE13HT3/2/10E/SS	bulbous							E26	
Best Choice	FLE23HT3/2/10E/SW	bulbous							E26	
GE	FLE13HT2/2/6H/D	bulbous							E26	
GE	FLE13HT2/2/12HE/SS	bulbous							E26	
LumaPro	FLE13HT2/2/12E/SW	bulbous							E26	
Everyday Living	FLE23HT3/2/10E/SW	bulbous							E26	
GE	FLE13HT2/2/12E/SW	bulbous							E26	
GE	FLE13HT2/2/12H1/SW	bulbous							E26	
GE	FLE23HT3/2/10E/SW	bulbous							E26	
GE	FLE13HT2/2/12H1/D	bulbous							E26	
