Qualified Solid Door Refrigerators					Updated 	 5/17/2017
Norlake	NLR23-SH	Reach-in	19.44	1.37	$60	F184
Norlake	NLR49-SH	Reach-in	42.06	2.73	$85	F185
Norlake	NLUR36A	Undercounter	9.87	1.14	$45	F183
Norlake	NR241***/0	Reach-in	24.10	1.90	$60	F184
Norlake	NR241**S/0X	Reach-in	24.10	1.82	$60	F184
Norlake	NR242**S/0X	Reach-in	23.97	1.82	$60	F184
Norlake	NR522**S/0X	Reach-in	51.45	2.98	$120	F186
Norlake	NR803**S/0X	Reach-in	79.85	3.51	$120	F186
Norlake	NR806**S/0X	Reach-in	79.52	3.36	$120	F186
Norlake	NSFR241WMW/0M	Reach-in	24.00	1.19	$60	F184
Norlake	NSLR241WMW/0M	Reach-in	24.00	1.19	$60	F184
Norlake	R23-SH	Reach-in	19.44	1.37	$60	F184
Norlake	R49-SH	Reach-in	42.06	2.73	$85	F185
Norlake	UR36A	Undercounter	9.87	1.14	$45	F183
Perlick	R24	Reach-in	4.70	0.89	$45	F183
Primoris	FB23R	Reach-in	19.10	1.56	$60	F184
Primoris	FB49R	Reach-in	43.40	2.34	$85	F185
Silver King	SK2SB	Other	4.30	0.74	$45	F183
Silver King	SKBY1	Other	0.94	0.93	$45	F183
Silver King	SKMAJ2	Milk or Beverage Cabinet	4.01	0.33	$45	F183
Silver King	SKSD	Other	3.86	0.43	$45	F183
Summit Commercial	FFAR25L*7*	Other	1.70	0.66	$45	F183
Summit Commercial	R17FF*	Reach-in	16.50	1.20	$60	F184
Summit Commercial	SBC635M*7*	Undercounter	5.60	0.85	$45	F183
Traulsen	AHT132WUT-FHS-eS	Reach-in	23.43	1.76	$60	F184
Traulsen	AHT132WUT-HHS-eS	Reach-in	23.37	1.76	$60	F184
Traulsen	AHT232NUT-FHS-eS	Reach-in	46.02	2.78	$85	F185
Traulsen	AHT232NUT-HHS-eS	Reach-in	45.89	2.78	$85	F185
Traulsen	AHT232WUT-FHS-eS	Reach-in	50.53	2.95	$120	F186
Traulsen	AHT232WUT-HHS-eS	Reach-in	50.40	2.94	$120	F186
Traulsen	AHT332WUT-FHS-eS	Reach-in	77.45	3.56	$120	F186
Traulsen	AHT332WUT-HHS-eS	Reach-in	77.26	3.56	$120	F186
Traulsen	G10000	Reach-in	23.37	1.76	$60	F184
Traulsen	G10000-032	Reach-in	23.37	1.76	$60	F184
Traulsen	G10001	Reach-in	23.37	1.76	$60	F184
Traulsen	G10001-032	Reach-in	23.37	1.76	$60	F184
Traulsen	G10010	Reach-in	23.43	1.76	$60	F184
Traulsen	G10010-032	Reach-in	23.43	1.76	$60	F184
Traulsen	G10011	Reach-in	23.43	1.76	$60	F184
Traulsen	G10011-032	Reach-in	23.43	1.76	$60	F184
Traulsen	G30000	Reach-in	69.15	3.37	$120	F186
Traulsen	G30000-032	Reach-in	69.15	3.37	$120	F186
Traulsen	G30001	Reach-in	69.15	3.37	$120	F186
Traulsen	G30001-032	Reach-in	69.15	3.37	$120	F186
Traulsen	G30002	Reach-in	69.15	3.37	$120	F186
Traulsen	G30002-032	Reach-in	69.15	3.37	$120	F186
Traulsen	G30003	Reach-in	69.15	3.37	$120	F186
Traulsen	G30003-032	Reach-in	69.15	3.37	$120	F186
Traulsen	G30010	Reach-in	69.35	3.38	$120	F186
Traulsen	G30010-032	Reach-in	69.35	3.38	$120	F186
Traulsen	G30011	Reach-in	69.35	3.38	$120	F186
Traulsen	G30011-032	Reach-in	69.35	3.38	$120	F186
Traulsen	G30012	Reach-in	69.35	3.38	$120	F186
Traulsen	G30012-032	Reach-in	69.35	3.38	$120	F186
Traulsen	G30013	Reach-in	69.35	3.38	$120	F186
Traulsen	G30013-032	Reach-in	69.35	3.38	$120	F186
Traulsen	RHT132WUT-FHS-eS	Reach-in	23.43	1.76	$60	F184
Traulsen	RHT132WUT-HHS-eS	Reach-in	23.37	1.76	$60	F184
Traulsen	RHT232NUT-FHS-eS	Reach-in	46.02	2.78	$85	F185
Traulsen	RHT232NUT-HHS-eS	Reach-in	45.89	2.78	$85	F185
Traulsen	RHT232WUT-FHS-eS	Reach-in	50.53	2.95	$120	F186
Traulsen	RHT232WUT-HHS-eS	Reach-in	50.40	2.94	$120	F186
Traulsen	RHT332WUT-FHS-eS	Reach-in	77.45	3.56	$120	F186
Traulsen	RHT332WUT-HHS-eS	Reach-in	77.26	3.56	$120	F186
Traulsen	UHT32L0-0300	Undercounter	8.61	1.10	$45	F183
Traulsen	UHT32R0-0300	Undercounter	8.61	1.10	$45	F183
Traulsen	UHT48-LL	Undercounter	13.56	1.20	$45	F183
Traulsen	UHT48-LR	Undercounter	13.56	1.20	$45	F183
Traulsen	UHT48-RL	Undercounter	13.56	1.20	$45	F183
Traulsen	UHT48-RR	Undercounter	13.56	1.20	$45	F183
Traulsen	UHT48LL-0300	Undercounter	13.56	1.20	$45	F183
Traulsen	UHT48LR-0300	Undercounter	13.56	1.20	$45	F183
True	STA1R-1S-HC	Reach-in	22.09	1.61	$60	F184
True	STA1R-2HS-HC	Reach-in	22.00	1.66	$60	F184
True	STA1RPT-1S-1S-HC	Reach-in	23.53	1.63	$60	F184
True	STA1RPT-2HS-1S-HC	Reach-in	23.44	1.84	$60	F184
True	STA1RPT-2HS-2HS-HC	Reach-in	23.35	1.84	$60	F184
True	STA2R-2S-HC	Reach-in	46.86	2.23	$85	F185
True	STG1R-1S-HC	Reach-in	22.09	1.61	$60	F184
True	STG1R-2HS-HC	Reach-in	22.00	1.66	$60	F184
True	STG1RPT-1S-1S-HC	Reach-in	23.53	1.63	$60	F184
True	STG1RPT-2HS-1S-HC	Reach-in	23.44	1.84	$60	F184
True	STG1RPT-2HS-2HS-HC	Reach-in	23.35	1.84	$60	F184
True	STG2R-2S-HC	Reach-in	46.86	2.23	$85	F185
True	STM1R-1S-HC	Reach-in	22.09	1.61	$60	F184
True	STM1R-2HS-HC	Reach-in	22.00	1.66	$60	F184
True	STM1RPT-1S-1S-HC	Reach-in	23.52	1.63	$60	F184
True	STM1RPT-2HS-2HS-HC	Reach-in	23.35	1.84	$60	F184
True	STM2R-2S-HC	Reach-in	46.86	2.23	$85	F185
True	STR1R-1S-HC	Reach-in	22.09	1.61	$60	F184
True	STR1R-2HS-HC	Reach-in	22.00	1.66	$60	F184
True	STR1RPT-1S-1S-HC	Reach-in	23.53	1.63	$60	F184
True	STR1RPT-2HS-1S-HC	Reach-in	23.44	1.84	$60	F184
True	STR1RPT-2HS-2HS-HC	Reach-in	23.35	1.84	$60	F184
True	STR2R-2S-HC	Reach-in	46.86	2.23	$85	F185
True	T-12-HC	Reach-in	11.22	0.76	$45	F183
True	T-15-2-HC	Reach-in	12.46	0.81	$45	F183
True	T-23-2-HC	Reach-in	20.13	1.36	$60	F184
True	T-23-HC	Reach-in	20.26	1.27	$60	F184
True	T-43-HC	Reach-in	36.02	2.50	$85	F185
True	T-49-HC	Reach-in	43.26	2.75	$85	F185
True	TBB-1-HC	Undercounter	7.86	0.93	$45	F183
True	TBB-1-S-HC	Undercounter	7.86	0.93	$45	F183
True	TBB-2-HC	Undercounter	19.51	1.30	$60	F184
True	TBB-2-S-HC	Undercounter	19.51	1.30	$60	F184
True	TBB-4-HC	Undercounter	27.77	1.98	$60	F184
True	TBB-4-S-HC	Undercounter	27.77	1.98	$60	F184
True	TBB-4PT-S-HC	Undercounter	27.77	1.98	$60	F184
True	TDD-1-HC	Other	7.86	0.93	$45	F183
True	TDD-1-S-HC	Other	7.86	0.93	$45	F183
True	TDD-2-HC	Other	19.51	1.30	$60	F184
True	TDD-2-S-HC	Other	19.51	1.30	$60	F184
True	TDD-2CT-HC	Other	19.51	1.30	$60	F184
True	TDD-2CT-S-HC	Other	19.51	1.30	$60	F184
True	TDD-4-HC	Other	27.77	1.98	$60	F184
True	TDD-4-S-HC	Other	27.77	1.98	$60	F184
True	TDD-4CT-HC	Other	27.77	1.98	$60	F184
True	TDD-4CT-S-HC	Other	27.77	1.98	$60	F184
True	TG1R-1S-HC	Reach-in	27.33	1.28	$60	F184
True	TG2R-2S-HC	Reach-in	50.59	2.65	$120	F186
True	TMC-49-HC	Milk or Beverage Cabinet	16.61	1.05	$60	F184
True	TMC-49-S-HC	Milk or Beverage Cabinet	16.61	1.05	$60	F184
True	TMC-49-S-SS-HC	Milk or Beverage Cabinet	16.61	1.05	$60	F184
True	TMC-49-SS-HC	Milk or Beverage Cabinet	16.61	1.05	$60	F184
True	TMC-58-HC	Milk or Beverage Cabinet	19.94	1.17	$60	F184
True	TMC-58-S-HC	Milk or Beverage Cabinet	19.94	1.17	$60	F184
True	TMC-58-S-SS-HC	Milk or Beverage Cabinet	19.94	1.17	$60	F184
True	TMC-58-SS-HC	Milk or Beverage Cabinet	19.94	1.17	$60	F184
True	TS-23-2-HC	Reach-in	20.13	1.36	$60	F184
True	TS-23-HC	Reach-in	20.26	1.27	$60	F184
True	TS-43-HC	Reach-in	36.02	2.50	$85	F185
True	TS-49-HC	Reach-in	43.26	2.75	$85	F185
True	TUC-24	Undercounter	5.00	0.91	$45	F183
True	TUC-24-HC	Undercounter	4.97	0.59	$45	F183
True	TUC-24-HC~SPEC1	Undercounter	4.93	0.59	$45	F183
Turbo Air	ER19-1-N	Reach-in	18.44	1.41	$60	F184
Turbo Air	ER19-2-N	Reach-in	18.44	1.41	$60	F184
Turbo Air	ER24-1-N	Reach-in	21.70	1.63	$60	F184
Turbo Air	ER24-2-N	Reach-in	21.70	1.63	$60	F184
Turbo Air	ER47-2-N	Reach-in	42.10	2.42	$85	F185
Turbo Air	ER47-4-N	Reach-in	42.10	2.42	$85	F185
Turbo Air	EUR-28-N6	Reach-in	6.76	0.75	$45	F183
Turbo Air	EUR-48-N6	Reach-in	12.18	0.93	$45	F183
Turbo Air	EUR-60-N6	Reach-in	17.22	1.11	$60	F184
Turbo Air	JUR-36-N6	Reach-in	6.37	0.73	$45	F183
Turbo Air	JUR-36N	Reach-in	5.66	0.80	$45	F183
Turbo Air	JUR-36S-N6	Reach-in	5.66	0.63	$45	F183
Turbo Air	JUR-48-N6	Reach-in	9.93	0.98	$45	F183
Turbo Air	JUR-48N	Reach-in	9.04	0.98	$45	F183
Turbo Air	JUR-48S-N6	Reach-in	8.27	0.74	$45	F183
Turbo Air	JUR-60-N6	Reach-in	13.58	1.26	$45	F183
Turbo Air	JUR-60S-N6	Reach-in	11.31	1.04	$45	F183
Turbo Air	JUR-72-N6	Reach-in	17.20	1.13	$60	F184
Turbo Air	JUR-72S-N6	Reach-in	15.17	1.01	$60	F184
Turbo Air	M3R19-1-N	Reach-in	18.44	1.41	$60	F184
Turbo Air	M3R19-2-N	Reach-in	18.44	1.41	$60	F184
Turbo Air	MUR-28	Reach-in	6.80	0.84	$45	F183
Turbo Air	MUR-28L	Reach-in	6.80	0.84	$45	F183
Turbo Air	MUR-36	Reach-in	9.00	1.06	$45	F183
Turbo Air	MUR-36-N6	Reach-in	9.00	0.91	$45	F183
Turbo Air	MUR-36L	Reach-in	9.00	1.06	$45	F183
Turbo Air	PRO-26-2R-N	Reach-in	25.40	1.58	$60	F184
Turbo Air	PRO-26R-N	Reach-in	25.40	1.58	$60	F184
Turbo Air	PRO-26R-RI-N	Reach-in	39.91	1.83	$85	F185
Turbo Air	PRO-50-4R-N	Reach-in	48.70	2.43	$85	F185
Turbo Air	PRO-50R-N	Reach-in	48.70	2.43	$85	F185
Turbo Air	PRO-77-6R-N	Reach-in	75.04	2.99	$120	F186
Turbo Air	PRO-77R-N	Reach-in	75.04	2.99	$120	F186
Turbo Air	TBD-2SB	Reach-in	20.90	1.40	$60	F184
Turbo Air	TBD-2SD	Reach-in	20.90	1.40	$60	F184
Turbo Air	TSR-23SD*	Reach-in	19.30	1.56	$60	F184
Turbo Air	TSR-35SD-N	Reach-in	29.00	1.66	$60	F184
Turbo Air	TSR-49SD	Reach-in	41.10	2.45	$85	F185
Turbo Air	TUR-28SD-D2	Undercounter	7.00	1.01	$45	F183
Turbo Air	TUR-36SD-N6	Reach-in	9.00	0.91	$45	F183
Turbo Air	TWR-28SD-D2	Work-Top Table	7.00	1.01	$45	F183
Turbo Air	TWR-36SD-N6	Reach-in	9.00	0.91	$45	F183
US Refrigeration	USBV-24R	Reach-in	19.15	1.56	$60	F184
US Refrigeration	USBV-48R	Reach-in	43.46	2.34	$85	F185
US Refrigeration	USTV-24R	Reach-in	21.38	1.56	$60	F184
US Refrigeration	USTV-48R	Reach-in	41.99	2.34	$85	F185
US Refrigeration	USUV-28	Undercounter	7.15	0.90	$45	F183
US Refrigeration	USUV-73	Undercounter	21.13	1.69	$60	F184
US Refrigeration	USWT-28	Work-Top Table	7.15	0.90	$45	F183
US Refrigeration	USWT-73	Work-Top Table	21.13	1.69	$60	F184
Vencold	VC-R20SD	Reach-in	19.70	1.23	$60	F184
"Zhejiang Meisda Refrigeration Technology Co.,Ltd."	SC68	Reach-in	2.30	0.69	$45	F183
"Zhejiang Meisda Refrigeration Technology Co.,Ltd."	SC80H	Reach-in	2.50	0.92	$45	F183
						
