Qualified Hot Food Holding Cabinets					Updated 	 5/17/2017
McCall	1-1045H****	Full Size	49.0	4.69	$750	F110
McCall	2-2020H****	Full Size	22.4	12.50	$750	F110
McCall	2-2045H****	Full Size	49.0	4.69	$750	F110
McCall	4-4020H****	Full Size	22.4	12.50	$750	F110
McCall	4-4020H01***	Full Size	22.4	12.50	$750	F110
McCall	4-4020HP***	Full Size	22.4	12.50	$750	F110
McCall	4-4020HP01**	Full Size	22.4	12.50	$750	F110
McCall	4-4045H****	Full Size	49.0	4.69	$750	F110
McCall	4-4045H01***	Full Size	49.0	4.69	$750	F110
McCall	4-4045HP***	Full Size	49.0	4.69	$750	F110
McCall	4-4045HP01**	Full Size	49.0	4.69	$750	F110
Metro	C567-NFC-**	Full Size	19.2	18.13	$750	F110
Metro	C567-NFS-**	Full Size	19.2	18.13	$750	F110
Metro	C567-SFC-**	Full Size	19.2	18.13	$750	F110
Metro	C567-SFS-**	Full Size	19.2	18.13	$750	F110
Metro	C567L-NFC-**	Full Size	19.2	18.13	$750	F110
Metro	C567L-NFS-**	Full Size	19.2	18.13	$750	F110
Metro	C567L-SFC-**	Full Size	19.2	18.13	$750	F110
Metro	C567L-SFS-**	Full Size	19.2	18.13	$750	F110
Metro	C569-SDC-**	Full Size	24.0	17.42	$750	F110
Metro	C569-SDS-**	Full Size	24.0	15.46	$750	F110
Metro	C569-SFC-**	Full Size	24.0	17.42	$750	F110
Metro	C569-SFS-**	Full Size	24.0	15.46	$750	F110
Metro	C569L-SDC-**	Full Size	24.0	14.83	$750	F110
Metro	C569L-SDS-**	Full Size	24.0	14.83	$750	F110
Metro	C569L-SFC-**	Full Size	24.0	14.83	$750	F110
Metro	C569L-SFS-**	Full Size	24.0	14.83	$750	F110
Metro	C587-SF*-*****	Full Size	20.3	19.75	$750	F110
Metro	C587-SFC-**	Full Size	19.2	15.21	$750	F110
Metro	C587-SFS-**	Full Size	19.2	14.06	$750	F110
Metro	C587L-SF*-*****	Full Size	20.3	19.75	$750	F110
Metro	C587L-SFC-**	Full Size	19.2	15.21	$750	F110
Metro	C587L-SFS-**	Full Size	19.2	14.06	$750	F110
Metro	C589-SDC-**	Full Size	24.0	18.33	$750	F110
Metro	C589-SDS-**	Full Size	24.0	16.17	$750	F110
Metro	C589-SFC-**	Full Size	24.0	18.33	$750	F110
Metro	C589-SFS-**	Full Size	24.0	16.17	$750	F110
Metro	C589L-SDC-**	Full Size	24.0	18.33	$750	F110
Metro	C589L-SDS-**	Full Size	24.0	16.17	$750	F110
Metro	C589L-SFC-**	Full Size	24.0	18.33	$750	F110
Metro	C589L-SFS-**	Full Size	24.0	16.17	$750	F110
Metro	C597-SF*-*****	Full Size	20.3	19.75	$750	F110
Metro	C597-SFC-**	Full Size	19.2	15.21	$750	F110
Metro	C597-SFS-**	Full Size	19.2	14.06	$750	F110
Metro	C597L-SF*-*****	Full Size	20.3	19.75	$750	F110
Metro	C597L-SFC-**	Full Size	19.2	15.21	$750	F110
Metro	C597L-SFS-**	Full Size	19.2	14.06	$750	F110
Metro	C599-SDC-**	Full Size	24.0	18.96	$750	F110
Metro	C599-SDS-**	Full Size	24.0	18.17	$750	F110
Metro	C599-SFC-**	Full Size	24.0	18.96	$750	F110
Metro	C599-SFS-**	Full Size	24.0	18.17	$750	F110
Metro	C599L-SDC-**	Full Size	24.0	18.96	$750	F110
Metro	C599L-SDS-**	Full Size	24.0	18.17	$750	F110
Metro	C599L-SFC-**	Full Size	24.0	18.96	$750	F110
Metro	C599L-SFS-**	Full Size	24.0	18.17	$750	F110
Metro	C5T5-AS**	1/2 Size	12.2	13.52	$200	F111
Metro	C5T5-DS**	1/2 Size	12.2	13.52	$200	F111
Metro	C5T8-AS**	Full Size	18.4	9.18	$750	F110
Metro	C5T8-DS**	Full Size	18.4	9.18	$750	F110
Metro	C5T9-AS**	Full Size	21.4	7.20	$750	F110
Metro	C5T9-DS**	Full Size	21.4	7.20	$750	F110
Metro	C5T9D-AS**	Full Size	21.4	7.20	$750	F110
Metro	C5T9D-DS**	Full Size	21.4	7.20	$750	F110
Metro	MBQ-120	Full Size	29.8	17.55	$750	F110
Metro	MBQ-120-QH	Full Size	29.8	17.55	$750	F110
Metro	MBQ-120D	Full Size	37.2	13.98	$750	F110
Metro	MBQ-120D-QH	Full Size	37.2	13.98	$750	F110
Metro	MBQ-144	Full Size	35.2	15.60	$750	F110
Metro	MBQ-144-QH	Full Size	35.2	15.60	$750	F110
Metro	MBQ-150D	Full Size	44.7	14.63	$750	F110
Metro	MBQ-150D-QH	Full Size	44.7	14.63	$750	F110
Metro	MBQ-180	Full Size	44.0	12.50	$750	F110
Metro	MBQ-180-QH	Full Size	44.0	12.50	$750	F110
Metro	MBQ-180D	Full Size	52.7	14.63	$750	F110
Metro	MBQ-180D-QH	Full Size	52.7	14.63	$750	F110
Metro	MBQ-200D	Full Size	57.6	13.77	$750	F110
Metro	MBQ-200D-QH	Full Size	57.6	13.77	$750	F110
Metro	MBQT-180D	Full Size	52.7	15.26	$750	F110
Metro	MBQT-180D-*******	Full Size	52.7	15.26	$750	F110
Metro	MBQT-180D-QH	Full Size	52.7	15.26	$750	F110
Norlake	NW211***/0	Full Size	18.3	1.37	$750	F110
Norlake	PW252***/0	Full Size	19.0	2.05	$750	F110
Norlake	PW253***/0	Full Size	19.0	2.05	$750	F110
Norlake	PW254***/0	Full Size	19.0	2.05	$750	F110
Norlake	PW554***/8	Full Size	37.0	0.78	$750	F110
Royalton Foodservice Equipment Co.	SSRHHC-1000-C1	1/2 Size	6.2	5.98	$200	F111
Royalton Foodservice Equipment Co.	SSRHHC-1000-C4	Full Size	19.3	18.65	$750	F110
Royalton Foodservice Equipment Co.	SSRHHC-2000-C1	1/2 Size	6.2	5.98	$200	F111
Royalton Foodservice Equipment Co.	SSRHHC-2000-C4	Full Size	19.3	18.65	$750	F110
Royalton Foodservice Equipment Co.	SSRHHC-2000-C4US	Full Size	20.7	18.12	$750	F110
Royalton Foodservice Equipment Co.	SSRHHR-1000-C1R-SWH	1/2 Size	6.4	3.11	$200	F111
Royalton Foodservice Equipment Co.	SSRHHR-2000-C4R-SWH	Full Size	19.5	16.22	$750	F110
Royalton Foodservice Equipment Co.	SSRSH-1209	1/2 Size	4.8	5.88	$200	F111
Royalton Foodservice Equipment Co.	SSRSH-1209-SWH	1/2 Size	4.8	5.88	$200	F111
Royalton Foodservice Equipment Co.	SSRSH-1809	1/2 Size	7.9	19.44	$200	F111
Royalton Foodservice Equipment Co.	SSRSH-1809-SWH	1/2 Size	7.9	19.44	$200	F111
Royalton Foodservice Equipment Co.	SSRSH-2106	1/2 Size	10.2	18.16	$200	F111
Royalton Foodservice Equipment Co.	SSRSH-2106-SWH	1/2 Size	10.2	18.16	$200	F111
Traulsen	AHF132W-FHG	Full Size	24.0	12.58	$750	F110
Traulsen	AHF132W-FHS	Full Size	24.0	12.58	$750	F110
Traulsen	AHF132W-HHG	Full Size	24.0	12.58	$750	F110
Traulsen	AHF132W-HHS	Full Size	24.0	12.58	$750	F110
Traulsen	AHF132WP-FHS	Full Size	26.0	11.77	$750	F110
Traulsen	AHF132WP-HHS	Full Size	26.0	11.77	$750	F110
Traulsen	AHF232W-FHS	Full Size	52.0	7.71	$750	F110
Traulsen	AHF232W-HHS	Full Size	52.0	7.71	$750	F110
Traulsen	AHF232WP-FHS	Full Size	55.0	7.49	$750	F110
Traulsen	AHF232WP-HHS	Full Size	55.0	7.49	$750	F110
Traulsen	AIH132H-FHS	Full Size	38.0	9.16	$750	F110
Traulsen	AIH132L-FHS	Full Size	36.0	9.44	$750	F110
Traulsen	AIH132LP-FHS	Full Size	38.0	9.16	$750	F110
Traulsen	AIH232L-FHS	Full Size	74.0	6.54	$750	F110
Traulsen	AIH232LP-FHS	Full Size	80.0	6.34	$750	F110
Traulsen	G14300	Full Size	24.0	12.58	$750	F110
Traulsen	G14301	Full Size	24.0	12.58	$750	F110
Traulsen	G14302P	Full Size	26.0	11.77	$750	F110
Traulsen	G14303P	Full Size	26.0	11.77	$750	F110
Traulsen	G14304P	Full Size	26.0	11.77	$750	F110
Traulsen	G14305P	Full Size	26.0	11.77	$750	F110
Traulsen	G14310	Full Size	24.0	12.58	$750	F110
Traulsen	G14311	Full Size	24.0	12.58	$750	F110
Traulsen	G14312P	Full Size	26.0	11.77	$750	F110
Traulsen	G14313P	Full Size	26.0	11.77	$750	F110
Traulsen	G14314P	Full Size	26.0	11.77	$750	F110
Traulsen	G14315P	Full Size	26.0	11.77	$750	F110
Traulsen	G24300	Full Size	44.0	8.41	$750	F110
Traulsen	G24302	Full Size	44.0	8.41	$750	F110
Traulsen	G24303	Full Size	44.0	8.41	$750	F110
Traulsen	G24304P	Full Size	47.0	8.13	$750	F110
Traulsen	G24305P	Full Size	47.0	8.13	$750	F110
Traulsen	G24306P	Full Size	47.0	8.13	$750	F110
Traulsen	G24307P	Full Size	47.0	8.13	$750	F110
Traulsen	G24310	Full Size	44.0	8.41	$750	F110
Traulsen	G24312	Full Size	44.0	8.41	$750	F110
Traulsen	G24312P	Full Size	47.0	8.13	$750	F110
Traulsen	G24313	Full Size	44.0	8.41	$750	F110
Traulsen	G24314P	Full Size	47.0	8.13	$750	F110
Traulsen	G24315P	Full Size	47.0	8.13	$750	F110
Traulsen	G24316P	Full Size	47.0	8.13	$750	F110
Traulsen	G24317	Full Size	44.0	8.41	$750	F110
Traulsen	G24317P	Full Size	47.0	8.13	$750	F110
Traulsen	RHF132W-FHG	Full Size	24.0	12.58	$750	F110
Traulsen	RHF132W-FHS	Full Size	24.0	12.58	$750	F110
Traulsen	RHF132W-HHG	Full Size	24.0	12.58	$750	F110
Traulsen	RHF132W-HHS	Full Size	24.0	12.58	$750	F110
Traulsen	RHF132WP-FHS	Full Size	26.0	11.77	$750	F110
Traulsen	RHF132WP-HHS	Full Size	26.0	11.77	$750	F110
Traulsen	RHF232W-FHS	Full Size	52.0	7.71	$750	F110
Traulsen	RHF232W-HHS	Full Size	52.0	7.71	$750	F110
Traulsen	RHF232WP-FHS	Full Size	55.0	7.49	$750	F110
Traulsen	RHF232WP-HHS	Full Size	55.0	7.49	$750	F110
Traulsen	RIH132H-FHS	Full Size	38.0	9.16	$750	F110
Traulsen	RIH132L-FHS	Full Size	36.0	9.44	$750	F110
Traulsen	RIH132LP-FHS	Full Size	38.0	9.16	$750	F110
Traulsen	RIH232L-FHS	Full Size	74.0	6.54	$750	F110
Traulsen	RIH232LP-FHS	Full Size	80.0	6.34	$750	F110
Vulcan	VBP13***********	Full Size	17.1	0.99	$750	F110
Vulcan	VBP15***********	Full Size	19.1	0.84	$750	F110
Vulcan	VBP5***********	1/2 Size	7.1	3.38	$200	F111
Vulcan	VBP7***********	1/2 Size	9.5	1.90	$200	F111
Vulcan	VBP77***********	Full Size	19.0	0.90	$750	F110
Vulcan	VHFA18***********	Full Size	22.5	1.42	$750	F110
Vulcan	VHFA9***********	1/2 Size	12.7	2.67	$200	F111
Vulcan	VHP15***********	1/2 Size	8.8	2.74	$200	F111
Vulcan	VHP7***********	1/2 Size	4.1	8.74	$200	F111
Vulcan	VP18***********	Full Size	22.2	1.31	$750	F110
Winston Industries	HA4522-GE	Full Size	21.5	19.16	$750	F110
Winston Industries	HL4022-GE	Full Size	22.1	19.72	$750	F110
Wittco	1220-15***********	1/2 Size	8.8	2.74	$200	F111
Wittco	1220-7***********	1/2 Size	4.1	8.74	$200	F111
Wittco	1826-13***********	Full Size	17.1	0.99	$750	F110
Wittco	1826-15***********	Full Size	19.1	0.84	$750	F110
Wittco	1826-5***********	1/2 Size	7.1	3.38	$200	F111
Wittco	1826-7***********	1/2 Size	9.5	1.90	$200	F111
Wittco	1826-77***********	Full Size	19.0	0.90	$750	F110
						
