Qualified Fryers									Updated 	 5/17/2017
Pitco	SSHF55	14	50	Gas	"11,138"	"8,140"	55%	72	$749	F206
Pitco	SSHF60	14	60	Gas	-	"8,705"	58%	76	$749	F206
Pitco	SSHF60R	14	60	Gas	-	"8,446"	52%	74	$749	F206
Pitco	SSHF60W	18	60	Gas	"15,781"	"10,644"	55%	76	$749	F206
Pitco	SSHF75	18	75	Gas	"14,886"	"11,226"	61%	99	$749	F206
Pitco	SSHF75R	18	75	Gas	"16,935"	"11,819"	56%	107	$749	F206
Pitco	SSHLV14	13	32	Gas	"8,141"	"7,409"	53%	66	$749	F206
Pitco	VF35	14	35	Gas	"9,456"	"7,349"	50%	59	$749	F206
Pitco	VF35S	14	35	Gas	"9,456"	"7,349"	50%	59	$749	F206
Pitco	VF65	18	65	Gas	"15,636"	"9,953"	54%	80	$749	F206
Pitco	VF65S	18	65	Gas	"15,636"	"9,953"	54%	80	$749	F206
Royal Range	REEF-35	14	35	Gas	"10,592"	"8,764"	54%	60	$749	F206
Royal Range	RHEF-45**	14	45	Gas	"7,095"	"4,569"	63%	71	$749	F206
Ultrafryer Systems	B-P20-18	18	100	Gas	"16,923"	"5,641"	62%	68	$749	F206
Ultrafryer Systems	B-P20-20	20	125	Gas	"21,939"	"7,038"	62%	79	$749	F206
Ultrafryer Systems	B-P25-18	18	100	Gas	"15,372"	"5,710"	59%	89	$749	F206
Ultrafryer Systems	B-P30-14	14	50	Gas	"7,450"	"4,180"	65%	73	$749	F206
Ultrafryer Systems	B-P30-18	18	100	Gas	"20,859"	"5,993"	61%	120	$749	F206
Ultrafryer Systems	B-P30-20	20	125	Gas	"18,250"	"7,045"	65%	131	$749	F206
Ultrafryer Systems	C-P30-14	14	30	Gas	"9,816"	"4,120"	60%	60	$749	F206
Ultrafryer Systems	F-P20-18	18	100	Gas	"16,923"	"5,641"	62%	68	$749	F206
Ultrafryer Systems	F-P25-18	18	100	Gas	"15,372"	"5,710"	59%	89	$749	F206
Ultrafryer Systems	F-P30-14	14	50	Gas	"7,450"	"4,180"	65%	73	$749	F206
Ultrafryer Systems	F-P30-18	18	100	Gas	"20,859"	"5,993"	61%	120	$749	F206
Ultrafryer Systems	P30-RS-UC	14	65	Gas	"11,662"	"5,345"	59%	110	$749	F206
Ultrafryer Systems	P40-18	18	100	Gas	"15,145"	"4,909"	74%	104	$749	F206
Ultrafryer Systems	PDEX 1V 1-14	14	50	Gas	"7,450"	"4,180"	65%	73	$749	F206
Vulcan	TR45	14	45	Gas	"7,548"	"4,318"	61%	69	$749	F206
Vulcan	TR65	20	65	Gas	"12,278"	"5,083"	60%	82	$749	F206
Vulcan	TR85	20	85	Gas	"15,072"	"5,575"	60%	87	$749	F206
Vulcan	VEG35	14	35	Gas	"9,785"	"7,296"	50%	57	$749	F206
Vulcan	VK45	14	45	Gas	"8,192"	"4,636"	65%	78	$749	F206
Vulcan	VK65	20	65	Gas	"11,914"	"4,838"	66%	91	$749	F206
Vulcan	VK85	20	85	Gas	"15,039"	"6,075"	66%	100	$749	F206
Anets	14EL-17	14	50	Electric	1.63	0.82	84%	72	$650	F205
Frymaster	BIELA*14	13	30	Electric	1.55	0.51	89%	71	$650	F205
Frymaster	BIRE*14	14	50	Electric	-	0.82	84%	68	$650	F205
Frymaster	BK*17C	14	50	Electric	-	0.89	87%	70	$650	F205
Frymaster	BK*17RC	14	50	Electric	-	0.89	87%	70	$650	F205
Frymaster	BKFP*17C	14	50	Electric	-	0.89	87%	70	$650	F205
Frymaster	BKFP*17RC	14	50	Electric	-	0.89	87%	70	$650	F205
Frymaster	FPEL*14	14	35	Electric	1.47	0.62	87%	58	$650	F205
Frymaster	FPEL*17	14	50	Electric	1.61	0.81	86%	77	$650	F205
Frymaster	FPEL*22	14	50	Electric	0.96	0.81	87%	83	$650	F205
Frymaster	FQE30U	13	30	Electric	1.37	0.59	88%	62	$650	F205
Frymaster	H*14	14	50	Electric	1.79	0.97	81%	68	$650	F205
Frymaster	H*17TC	14	50	Electric	1.70	0.77	84%	72	$650	F205
Frymaster	RE*17	14	50	Electric	-	0.89	87%	70	$650	F205
Frymaster	RE-14	14	50	Electric	1.52	0.62	87%	61	$650	F205
Frymaster	RE-22	14	50	Electric	1.65	0.52	89%	69	$650	F205
"Giles Enterprises, Inc."	EOF-24	24	175	Electric	4.84	0.95	83%	150	$650	F205
"Giles Enterprises, Inc."	GBF-50	15	50	Electric	2.23	0.83	82%	66	$650	F205
"Giles Enterprises, Inc."	GEF-400	13	45	Electric	1.32	0.70	86%	53	$650	F205
"Giles Enterprises, Inc."	GEF-560	18.5	60	Electric	1.52	0.83	89%	77	$650	F205
"Giles Enterprises, Inc."	GEF-720	18.5	75	Electric	3.17	0.93	85%	96	$650	F205
Henny Penny	EEE-14*	12	30	Electric	1.49	0.72	85%	59	$650	F205
Henny Penny	EEE-14* Split Vat	14	30	Electric	1.59	0.76	86%	61	$650	F205
Henny Penny	EEE-15*	12	30	Electric	1.36	0.81	85%	64	$650	F205
Henny Penny	LVE-20*	12	30	Electric	1.42	0.73	86%	62	$650	F205
Henny Penny	LVE-20* Split Vat	12	30	Electric	1.52	0.79	85%	57	$650	F205
Henny Penny	OEA-32* (14.4kW)	14	65	Electric	2.30	0.91	80%	63	$650	F205
Henny Penny	OEA-32* (22kW)	14	65	Electric	2.58	0.75	83%	69	$650	F205
Henny Penny	OEA-34*	18	80	Electric	2.10	1.08	86%	84	$650	F205
Henny Penny	OFE-32* (14.4kW)	14	65	Electric	2.30	0.91	80%	63	$650	F205
Henny Penny	OFE-32* (22kW)	14	65	Electric	2.58	0.75	83%	69	$650	F205
Henny Penny	OFE-32* Split Vat	16	46	Electric	1.80	0.70	82%	71	$650	F205
Henny Penny	OFE-34*	18	80	Electric	2.10	1.08	86%	84	$650	F205
Hobart	HF50	14	50	Electric	1.76	0.63	85%	72	$650	F205
"Motion Technology, Inc."	MTI-10X	N/A	15	Electric	1.07	0.67	86%	28	$650	F205
"Motion Technology, Inc."	MTI-40C	N/A	40	Electric	1.36	0.94	92%	58	$650	F205
"Motion Technology, Inc."	MTI-40E	N/A	40	Electric	1.36	0.94	92%	58	$650	F205
Perfect Fry Company	PFA720	N/A	15	Electric	0.98	0.59	86%	35	$650	F205
Perfect Fry Company	PFC570	N/A	15	Electric	0.52	0.53	81%	29	$650	F205
Pitco	BKSEH50SPC	14	50	Electric	2.30	0.93	82%	69	$650	F205
Pitco	MEII	14	50	Electric	2.30	0.93	82%	69	$650	F205
Pitco	SE148	14	60	Electric	-	0.99	85%	77	$650	F205
Pitco	SEF148	14	60	Electric	-	0.99	85%	77	$650	F205
Pitco	SEH50	14	50	Electric	2.30	0.93	82%	69	$650	F205
Pitco	SFSE148	14	60	Electric	-	0.99	85%	77	$650	F205
Pitco	SFSE1814	18	60	Electric	8.91	1.07	84%	111	$650	F205
Resfab	MB-50***	16	55	Electric	2.70	0.88	83%	46	$650	F205
Sapidus	UE-1100	15	70	Electric	1.41	0.42	84%	26	$650	F205
Ultrafryer Systems	E-20-18	18	100	Electric	2.34	1.08	83%	93	$650	F205
Vulcan	CEF40	14	45	Electric	1.88	0.70	85%	70	$650	F205
Vulcan	ER50	14	50	Electric	1.75	0.74	86%	58	$650	F205
Vulcan	ER85	18	85	Electric	2.78	1.08	88%	105	$650	F205
										
